primary_asset_contracts_address,primary_asset_contracts_asset_contract_type,primary_asset_contracts_created_date,primary_asset_contracts_name,primary_asset_contracts_nft_version,primary_asset_contracts_owner,primary_asset_contracts_schema_name,primary_asset_contracts_symbol,primary_asset_contracts_total_supply,primary_asset_contracts_description,primary_asset_contracts_dev_seller_fee_basis_points,primary_asset_contracts_seller_fee_basis_points,primary_asset_contracts_payout_address,stats_one_day_volume,stats_one_day_change,stats_one_day_sales,stats_one_day_average_price,stats_seven_day_volume,stats_seven_day_change,stats_seven_day_sales,stats_seven_day_average_price,stats_thirty_day_volume,stats_thirty_day_change,stats_thirty_day_sales,stats_thirty_day_average_price,stats_total_volume,stats_total_sales,stats_total_supply,stats_count,stats_num_owners,stats_average_price,stats_market_cap,stats_floor_price,slug,stats_time,created_date,description,display_data_card_display_style,safelist_request_status,name,telegram_url,twitter_username,instagram_username,discord_url,medium_username,external_url
0xcb1021080b61dac7032618de925a62176cbc8372,non-fungible,2021-12-16T22:34:43.330524,Keepers of the Inn,3,168311134,ERC721,KEEPER,0,"A collection of 3,356 photographs by Julie Pacino captured during the rehearsal process of her upcoming feature film I Live Here Now.

[keepersoftheinn.art](https://www.keepersoftheinn.art/)",800,1050,0x88b5c025e5790dae3f21ce315a12940711a330d1,0.3646,1.634393064,8,0.045575,0.777,-0.670370089,17,0.045705882,14.456489,-0.916507669,231,0.062582203,190.2397963,1859,3356,3356,1187,0.102334479,153.3889412,0.035,keepers-of-the-inn,"2022-03-06, 09:47:12",2021-12-16T23:04:49.945121,"A collection of 3,356 photographs by Julie Pacino captured during the rehearsal process of her upcoming feature film I Live Here Now.

[keepersoftheinn.art](https://www.keepersoftheinn.art/)",contain,verified,Keepers of the Inn,0,1,0,1,0,https://www.keepersoftheinn.art/
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1.25,4,16,16,5,0.3125,0,0.15,zosphotos,"2022-03-06, 09:47:12",2021-03-03T02:33:14.508366,Come experience some spooky yet soothing environments with me.,contain,approved,A Spooky World,0,1,0,0,0,https://instagram.com/zosphotosx
,,,,,,,,,,,,,1.27,0,1,1.27,1.87,1.710144928,2,0.935,14.056,5.693333333,19,0.739789474,49.485,94,90,90,60,0.52643617,84.15,0.7,scim,"2022-03-06, 09:47:13",2021-09-10T10:10:34.043901,"���Skateboarding: Culture in Motion��� is a collection of images dedicated to my love for skateboarding. I would not be the person I am today if I didn���t discover skateboarding 20 years ago. 

Skating has always been my silver lining in life, helping me through anxiety, depression, and in the simple joy of making new friends. This ���band of misfits��� mentality has always resonated with me, and reminds me of the growing NFT community. 

These images shot all on film represent the impact skateboarding culture has had on me throughout my life.",contain,approved,Skateboarding: Culture in Motion,0,1,1,0,0,http://jakeinez.com
0x46ac8540d698167fcbb9e846511beb8cf8af9bd8,non-fungible,2021-11-02T09:44:19.330482,Quantum Art,3,85595062,ERC721,QART,0,"The first on chain platform focused solely on photographers and their work, by curating and dropping NFT collections.",750,1000,0xd5dbc976e6b0a72aa3862ac1595f8c6f6b80ceab,9.14,2.324845398,8,1.1425,76.06977778,-0.519514247,57,1.334557505,361.2348431,-0.441528659,260,1.389364781,1822.352263,1024,2020,2020,880,1.779640882,2695.80616,0.78,quantum-curated,"2022-03-06, 09:47:14",2021-11-02T14:34:57.812490,"The first on chain platform focused solely on photographers and their work, by curating and dropping NFT collections.",contain,verified,Quantum Curated,0,1,0,1,0,https://quantum.art
,,,,,,,,,,,,,0,0,0,0,0,-1,0,0,0.4,0,7,0.057142857,0.54,9,22,22,4,0.06,0,0.03,neozul-photography,"2022-03-06, 09:47:14",2021-02-11T08:58:39.163210,"Belgian photography professional.
IT, blockchain & sciences enthusiast.",contain,approved,Neozul's main collection,1,1,0,0,0,
,,,,,,,,,,,,,0,-1,0,0,64,-0.703277852,1,64,551.32,-0.146920702,10,55.132,2611.866195,212,118,118,57,12.32012356,7552,59,where-my-vans-go,"2022-03-06, 09:47:14",2021-08-07T06:05:22.726722,"Where My Vans Go is a collection comprised of 119 iconic images created over the span of three years exploring all over the United States.  From coast to coast, between borders and beyond, this series represents the journey that has forged the person and artist that I am today. By following my vans on this vast journey through time, I hope you will feel every step and heartbeat, I hope you will rise above fears with me.  If this journey has taught me anything it is that everything is about our struggle and process, if you never climb, you never see the view.  This is the climb.  In snow and fog, sunshine and rain, from the tops of skyscrapers and bridges and through incarceration, here I learned to do whatever it takes.  These are the shoes that made me. Welcome.",contain,verified,Where My Vans Go,0,1,1,0,0,http://linktr.ee/Driftershoots
,,,,,,,,,,,,,0,-1,0,0,0.39,1.689655172,3,0.13,2.0653,-0.708022902,24,0.086054167,28.140552,250,49,49,166,0.112562208,6.37,0.1,the-lonely-astronaut,"2022-03-06, 09:47:15",2021-03-05T04:27:47.445253,"I bought an authentic vintage high-altitude space suit in 2017 and have traveled with it for thousands of miles around the world taking photos of different people in it (mostly women).

While I was in an abandoned house one day, I thought about how strange it was to be in a space where people once lived, exploring their home and in turn, trying to piece together what the lives of the people who once lived there were like. I wondered if I was the only one who ever thought of them after they were gone- the only one to see their faces in photos and read their names on their mail after so many years. I then got to thinking, what if this happened across the whole world? What if humanity had to evacuate earth for some reason- maybe we destroyed the environment so much, or couldn't breathe the air (or both) and we had to leave? And what if- much like I was doing- several years later one person comes back to see how we all once lived?

And that was the start of ""The Lonely Astronaut""",cover,approved,The Lonely Astronaut,0,1,0,1,0,https://karenjerzykphoto.com
,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,18.89,47,37,37,24,0.401914894,0,0.69,asilentmovie,"2022-03-06, 09:47:16",2021-08-05T16:59:34.438567,"ANO������������������ - 'A Silent Movie' is a collection of 36 cinematic stills created over the last 4 years. 

My photographs are cinematic stills from the movie that is my life. When I hold the camera in my hands and I look through the lens all I can see is a living breathing story. Movies are my inspiration from the shot to the colouring and the edit. 

Japan has given me this feeling more than ever. Some of the sights and experiences are so surreal and pure I can't help but sho",contain,approved,A Silent Movie,0,1,1,0,0,http://www.anocam.com/
,,,,,,,,,,,,,2.08,0,2,1.04,6.15,-0.232209738,7,0.878571429,46.59,0,115,0.405130435,46.59,115,100,100,70,0.405130435,87.85714286,1,unseen-emanuele-ferrari,"2022-03-06, 09:47:16",2022-02-08T09:51:10.535429,"Emanuele Ferrari's UNSEEN is a photographic project made of 100 polaroids from his private collection. Small life���������s fragments, details, backstage moments, models, all unpublished till now.

Each physical asset was burned as soon as it was transformed into a NFT. 

Each NFT is 1/1. 
Each NFT is un",contain,approved,Unseen by Emanuele Ferrari,0,0,1,1,0,http://www.emanueleferrari.it/
0x5be372fa04ba4bb290efab27c0d772f9efc0491b,non-fungible,2022-01-02T23:08:50.091524,Flash Mints (Yaasmyn Fula - The Untold Story of Tupac Amaru Shakur & Yaki 'Kadafi' Fula),3,159592789,ERC721,FLASHMINTS-YAASMYNFULA,1004,"Spirit of an Outlaw by Yaasmyn Fula, Kadafi���������s mother, reveals the truth of Kadafi and Tupac���������s lives and exposes the underbelly of resistance that raised them. From their earliest years until the end, she was the family photographer and curator. Many photos were confiscated by state agencies but fortunately, many were preserved. Their legacies, though commodified and distorted, are resurrected in never before seen images now giving context to their spirited lyrics and plans for a better world.

Yaasymyn���������s NFTs are a collection and photo journal that captures the true essence of their relationship and the Codes passed down to them. There was always a Code of Women to whisper in their ears, teaching them courage, honor, and love. This NFT drop is the story of their love and devotion to each other as told through the eyes of one of those women. The true spirit of Yaki and Tupac is preserved in their music, and with th",1000,1250,0x2e875dd72caa1e85efe0a35a20418a0d683db0a2,0.167,0,3,0.055666667,1.4819,2.659012346,17,0.087170588,5.4506,-0.972737418,60,0.090843333,205.3803059,870,1004,1004,560,0.236069317,87.51927059,0.059,yaasmyn-fula-the-untold-story-of-tupac,"2022-03-06, 09:47:17",2022-01-02T23:15:35.911654,"Spirit of an Outlaw by Yaasmyn Fula, Kadafi���������s mother, reveals the truth of Kadafi and Tupac���������s lives and exposes the underbelly of resistance that raised them. From their earliest years until the end, she was the family photographer and curator. Many photos were confiscated by state agencies but fortunately, many were preserved. Their legacies, though commodified and distorted, are resurrected in never before seen images now giving context to their spirited lyrics and plans for a better world.

Yaasymyn���������s NFTs are a collection and photo journal that captures the true essence of their relationship and the Codes passed down to them. There was always a Code of Women to whisper in their ears, teaching them courage, honor, and love. This NFT drop is the story of their love and devotion to each other as told through the eyes of one of those women. The true spirit of Yaki and Tupac is preserved in their music, and with th",contain,approved,Yaasmyn Fula - The Untold Story of Tupac Amaru Shakur & Yaki Kadafi Fula,0,0,1,0,0,http://www.flashmints.com
,,,,,,,,,,,,,0,-1,0,0,13.29,1.631683168,9,1.476666667,27.73,2.415445252,32,0.8665625,56.504,114,91,91,57,0.495649123,134.3766667,0.6,raskalov-collection,"2022-03-06, 09:47:17",2021-08-26T22:35:48.216132,"Collection of 1/1 photographs of famous and iconic climbs from the most challenging and unique places worldwide. Made by one of the founders ""On The Roofs"" urban exploration community Vitaliy Raskalov.",cover,approved,On The Roofs | Raskalov,0,1,1,0,0,http://ontheroofs.com
,,,,,,,,,,,,,0,0,0,0,0,-1,0,0,0.615,-0.436813187,16,0.0384375,3.147,81,6660,6660,71,0.038851852,0,0.038,spacepiratesgang,"2022-03-06, 09:47:18",2021-11-25T03:28:11.097285,"SPACE PIRATES is a collection of 6666 unique, randomly generated on the Ethereum blockchain.",cover,approved,Space Pirates Gang,0,1,0,1,0,http://spacepiratesgang.com
0x1e87ee9249cc647af9edeecb73d6b76af14d8c27,non-fungible,2021-12-10T19:05:53.673456,Superlative Apes,3,140743175,ERC721,SLAPE,,"The Superlative Apes Genesis collection of 4,444 derivative Superlative Apes NFTs - To visit our mutant collection [CLICK HERE.](https://opensea.io/collection/superlativemutatedapes)

The Superlative Apes is an unique digital and colorful collectibles living on the Ethereum blockchain. Destined to give you a happy and warm feeling. Creating a solid and loyal community, who we reward with exclusive members-only benefits. Only for real owners of Superlative Apes. Community driven project. 

",750,1000,0x26f3103bf9721c07c89ac0151972398fd0cf679e,5.931,1.478478897,24,0.247125,51.285919,-0.545364557,125,0.410287352,504.6917784,-0.510302477,838,0.602257492,2451.561275,6959,4444,4444,2409,0.352286431,1823.316992,0.229,superlativeapes,"2022-03-06, 09:47:18",2021-12-10T19:06:14.095133,"The Superlative Apes Genesis collection of 4,444 derivative Superlative Apes NFTs - To visit our mutant collection [CLICK HERE.](https://opensea.io/collection/superlativemutatedapes)

The Superlative Apes is an unique digital and colorful collectibles living on the Ethereum blockchain. Destined to give you a happy and warm feeling. Creating a solid and loyal community, who we reward with exclusive members-only benefits. Only for real owners of Superlative Apes. Community driven project. 

",contain,approved,Superlative Apes,0,1,1,1,1,http://www.superlativeapes.com
,,,,,,,,,,,,,0.04,0,1,0.04,0.04,-0.012345679,1,0.04,0.3521,-0.357598978,9,0.039122222,2.0115,64,6196,6196,60,0.031429688,247.84,0.038,my-little-piggie,"2022-03-06, 09:47:18",2021-11-29T21:27:30.992784,,contain,approved,My Little Piggie Club,0,1,1,0,0,https://opensea.io/assets/my-little-piggie
,,,,,,,,,,,,,0,-1,0,0,0.3601,-0.099074306,5,0.07202,2.9879,-0.462549915,47,0.06357234,9.4328,195,5331,5331,167,0.048373333,383.93862,0.054,the-infected-club,"2022-03-06, 09:47:18",2021-12-09T18:53:24.317685,"The Infected Club is a collection of 10,000 unique NFTs to use, buy, keep and trade.

https://www.instagram.com/the_infected_club/",contain,approved,The Infected Club,0,0,1,0,0,https://opensea.io/collection/the-infected-club
,,,,,,,,,,,,,0,0,0,0,0,-1,0,0,0.247,-0.550091075,17,0.014529412,12.0099,578,5953,5953,319,0.020778374,0,0.015,fundamentalfoxnft,"2022-03-06, 09:47:19",2021-08-26T18:13:47.359781,"Fundamental Fox is a pack of  foxes in disguise which escaped from a massive dreadful hunting took place in whole world to hold a place in BlockChain system. It's skillfully curated by Aloglous designers and only available on Opensea. Gotta catch 'em all!

Visit our webpage",contain,approved,Fundamental Fox,0,1,1,1,0,https://www.fundamentalfox.com/
0x1981cc36b59cffdd24b01cc5d698daa75e367e04,non-fungible,2021-09-19T23:10:34.238148,Crypto Chicks,3,53533296,ERC721,CCH,0,"The Crypto Chicks is a collection developed to celebrate the unique, diverse beauty of all women around the world. This is the second generation of the Crypto Chick 1/1 collection, which was launched on Opensea in May 2021: 

https://opensea.io/collection/crypto-chick-3",500,750,0x96a9f6b1020b07a58d4a7956105d72a387a2e839,12.031,-0.271554856,28,0.429678571,115.91551,-0.630552743,236,0.491167415,2243.436114,-0.651924598,2791,0.803810861,11761.05419,21293,9999,9999,4445,0.55234369,4911.182984,0.392,the-crypto-chicks,"2022-03-06, 09:47:20",2021-09-19T23:28:05.624840,"The Crypto Chicks is a collection developed to celebrate the unique, diverse beauty of all women around the world. This is the second generation of the Crypto Chick 1/1 collection, which was launched on Opensea in May 2021: 

https://opensea.io/collection/crypto-chick-3",contain,verified,Crypto.Chicks,0,1,1,1,1,https://www.cryptochicks.app/
0xba60f470f16654ec79f0d1b2f1c0c12390107a56,non-fungible,2022-01-14T19:05:09.240281,Fudders,3,220234624,ERC721,NGMI,0,"Fudders is a collection of 6464 Fudders here to fud your bags to the ground!

http://www.fudderverse.com http://www.discord.gg/fudders",500,750,0x8959c50e4087645f2f5c37b6d0fd799fd7b6d01e,2.70466,0.483549997,36,0.075129444,22.93486,-0.748142239,237,0.096771561,144.3656202,-0.82702646,1613,0.089501314,978.976627,9350,6464,6464,2829,0.104703383,625.5313715,0.077,fudders,"2022-03-06, 09:47:20",2022-01-14T21:19:37.740566,"Fudders is a collection of 6464 Fudders here to fud your bags to the ground!

http://www.fudderverse.com http://www.discord.gg/fudders",cover,approved,Fudders,0,0,0,1,0,https://fudderverse.com/
0xfde881c7b76ad10b59a82247e1cd3cbad0d739f3,non-fungible,2022-03-04T06:56:48.448562,Clay Friends,3,240336693,ERC721,CLAY,0,"World renowned stop-motion animator Trent Shy is pleased to present Clay Friends, a 5000 piece generative collection made from 100% real clay. Blending meticulously hand-crafted works of art with a one-of-a-kind community experience, Clay Friends represents the unity of web3 and world class artistry.",750,1000,0x32c43b4362d7fc78fb802e4aa9d7c0db4b9d704d,242.6976107,-0.30667899,807,0.300740534,743.4295854,0,2512,0.295951268,743.4295854,0,2512,0.295951268,743.4295854,2512,5000,5000,3505,0.295951268,1479.75634,0.255,clayfriends,"2022-03-06, 09:47:20",2022-03-04T08:01:12.156383,"World renowned stop-motion animator Trent Shy is pleased to present Clay Friends, a 5000 piece generative collection made from 100% real clay. Blending meticulously hand-crafted works of art with a one-of-a-kind community experience, Clay Friends represents the unity of web3 and world class artistry.",cover,approved,Clay Friends,0,0,1,1,0,http://clayfriends.io
,,,,,,,,,,,,,0.06,1,4,0.015,0.19,0.266666667,12,0.015833333,0.76,0.688888889,34,0.022352941,1.48,52,11433,11433,50,0.028461538,181.0225,0.015,cultrue-art,"2022-03-06, 09:47:21",2021-12-15T17:43:28.918013,"Calligraphy&Painting is the quintessence of old culture,enjoy this art's charm based on the Ethereum blockchain",contain,approved,CU&ART,0,1,0,1,0,https://twitter.com/YBSB1023
0xfbfea4a683d37bf68301f6a9acf7e647bfa8e1a7,semi-fungible,2022-01-20T02:07:35.920575,SUPERPLASTIC: HEADTRIPZ,,54374265,ERC1155,SPTPZ,,"Bored out of their brains and on the lam, [Janky & Guggimon](https://opensea.io/collection/cryptojankyz) have decided to throw a massive NFT party! Join them and gobble up Yellow, Purple, and Rainbow [PILLZ & TABZ](https://opensea.io/collection/superplastic-headtripz-pillz) to get super-rare tripped-out trans-dimensional NFTs.",500,750,0x06caeb8090e2e7553bdfcb46e48f040fc5131afb,3.608,-0.135186961,17,0.212235294,16.4772,-0.025927846,72,0.22885,348.9371588,-0.737832352,1108,0.314925234,1679.90672,3673,9478,9478,3322,0.457366382,2169.0403,0.065,headtripz,"2022-03-06, 09:47:22",2022-01-20T02:29:44.719023,"Bored out of their brains and on the lam, [Janky & Guggimon](https://opensea.io/collection/cryptojankyz) have decided to throw a massive NFT party! Join them and gobble up Yellow, Purple, and Rainbow [PILLZ & TABZ](https://opensea.io/collection/superplastic-headtripz-pillz) to get super-rare tripped-out trans-dimensional NFTs.",contain,approved,SUPERPLASTIC:  Headtripz,0,0,0,1,0,http://superplastic.co/pages/headtripz
0xf75140376d246d8b1e5b8a48e3f00772468b3c0c,non-fungible,2021-08-26T02:43:06.132521,uwucrew,3,26816810,ERC721,UWU,0,"uwucrew is a woman co-founded generative collection of 9670 avatars inspired by anime and pop culture, aiming to be both inclusive and expressive. Every uwucrew NFT is completely unique and features up to 9 traits with 140+ assets. 

uwucrew features an incredibly vibrant art-focused community with a focus on artist support and representation.

Made with love by uwulabs",250,500,0x354a70969f0b4a4c994403051a81c2ca45db3615,5.2709,0.319572401,18,0.292827778,37.1112,0.111672115,129,0.287683721,255.3755255,-0.861853383,730,0.349829487,4217.51186,15430,9670,9670,4035,0.273331942,2781.901581,0.25,uwucrew,"2022-03-06, 09:47:22",2021-09-04T23:43:42.356883,"uwucrew is a woman co-founded generative collection of 9670 avatars inspired by anime and pop culture, aiming to be both inclusive and expressive. Every uwucrew NFT is completely unique and features up to 9 traits with 140+ assets. 

uwucrew features an incredibly vibrant art-focused community with a focus on artist support and representation.

Made with love by uwulabs",contain,verified,uwucrew,0,1,1,1,1,https://uwucrew.art
0xd37264c71e9af940e49795f0d3a8336afaafdda9,non-fungible,2022-01-06T05:14:47.836966,Junglebayapeclub,3,81024092,ERC721,JBAC,1,"���� 5,555 Apes by the Jungle Bay Community ���� 


Following the roller-coaster of events with the original LBAC - a community formed a DAO governed by their NFTs, and a Community Treasury funded by each other to build a brand new project together.

Introducing our Genesis Collection ���Jungle Bay Ape Club��� - a historic moment in the NFT space with truly decentralized origins. This is not a traditional roadmap, it���s a road with many paths that offers every Holder the ability to be the driver for our collective future.

Power to the People",700,950,0xa3cc58eaa3800dc163726e031a2da49a9bb64eb3,9.667225938,-0.729817986,49,0.197290325,88.75959273,1.509738507,480,0.184915818,238.7862464,0.199071151,1498,0.159403369,437.9289296,2877,5555,5555,2048,0.152217216,1027.20737,0.155,junglebayapeclub,"2022-03-06, 09:47:22",2022-01-06T05:15:03.839216,"���� 5,555 Apes by the Jungle Bay Community ���� 


Following the roller-coaster of events with the original LBAC - a community formed a DAO governed by their NFTs, and a Community Treasury funded by each other to build a brand new project together.

Introducing our Genesis Collection ���Jungle Bay Ape Club��� - a historic moment in the NFT space with truly decentralized origins. This is not a traditional roadmap, it���s a road with many paths that offers every Holder the ability to be the driver for our collective future.

Power to the People",contain,approved,JungleBay Ape Club,0,0,1,1,1,https://junglebayapeclub.com/
0xed5af388653567af2f388e6224dc7c4b3241c544,non-fungible,2022-01-10T05:20:15.499138,Azuki,3,195438852,ERC721,AZUKI,0,"A brand for the metaverse. Built by the community. View the collection at������[azuki.com/gallery](https://azuki.com/gallery).

Azuki starts with a collection of 10,000 avatars that give you membership access to The Garden: a corner of the internet where artists, builders, and web3 enthusiasts meet to create a decentralized future. Azuki holders receive access to exclusive drops, experiences, and more. Visit [azuki.com](https://azuki.com) for more details.

We rise together. We build together. We grow together.

Ready to take the red b",500,750,0xd45058bf25bbd8f586124c479d384c8c708ce23a,334.1992,-0.245800723,28,11.93568571,3857.781649,-0.256707457,312,12.36468477,31698.23115,-0.66308789,2262,14.01336479,125782.8015,18993,10000,10000,5526,6.622587347,123646.8477,10.2,azuki,"2022-03-06, 09:47:23",2022-01-12T04:18:22.531632,"A brand for the metaverse. Built by the community. View the collection at������[azuki.com/gallery](https://azuki.com/gallery).

Azuki starts with a collection of 10,000 avatars that give you membership access to The Garden: a corner of the internet where artists, builders, and web3 enthusiasts meet to create a decentralized future. Azuki holders receive access to exclusive drops, experiences, and more. Visit [azuki.com](https://azuki.com) for more details.

We rise together. We build together. We grow together.

Ready to take the red b",contain,verified,Azuki,0,0,1,1,0,http://www.azuki.com
,,,,,,,,,,,,,0,0,0,0,0.033,-0.713043478,1,0.033,0.669,-0.334328358,23,0.029086957,3.216,104,2223,2223,80,0.030923077,73.359,0.02,holyghost,"2022-03-06, 09:47:24",2021-12-06T15:25:22.741905,"Holy Ghost squad is a secret organisation that lives underground of NFT , Metaverse. Each member has its own attitude and specialities. Cause there is neither hierarchical order nor executive staff, all members can decide by theirselves. Their goal is to find their spirits's owners and become alive again to create their simulations. Thus, they use their seized teleport tech to travel among universes to reach the source called 'Essence of Life' that has all the secrets of all universes.


Holy Ghost Space squad, consisted of 2222 members, is an NFT collection of carefully chosen unique pieces with an ID. It is curared by Kozmos Studio.
We are in an extreme process amd improvement to hold place in possible projects and ecosystems. We look forward to seeing what happens in the future!

Price =
(0-150= 0.025)
(150-900= 0.03)
(900-1400= 0.033)
(1400-1900= 0.037)                       
(1900-2200= 0.04)
Special = (2200-2220= 0.2)",contain,approved,Holy-Ghosts,0,1,1,1,0,https://www.holy-ghost.space
0xa74e199990ff572a320508547ab7f44ea51e6f28,non-fungible,2021-06-29T02:39:27.451719,CryptoBeasts,3,53511238,ERC721,rare-eggs,0,"Congratulations! You've stumbled upon a Rare Egg.
",500,750,0xd30015e40dfeebdc6662833ffb2dd2d14f5a5882,0.699,-0.221603563,6,0.1165,13.0817,3.876682199,59,0.221723729,37.53087942,0.167701766,211,0.177871466,2165.550517,7283,9549,9549,2598,0.297343199,2117.239886,0.08,cryptobeasts-official,"2022-03-06, 09:47:24",2021-06-29T02:45:37.584500,"Congratulations! You've stumbled upon a Rare Egg.
",contain,verified,CryptoBeasts,0,1,1,1,0,http://cryptobeasts.org/
0x335eeef8e93a7a757d9e7912044d9cd264e2b2d8,non-fungible,2021-08-21T22:26:35.647620,Sad Girls Bar,3,60677459,ERC721,SadGirlsBar,0,"[Sad Girls Bar](https://opensea.io/collection/sadgirlsbar) | [Skeletongues](https://opensea.io/collection/skeletongues) | [The Sad Cats](https://opensea.io/collection/thesadcats)

Hand-drawn, monochrome, and stylish Sad Girls were created by female artist Glam Beckett.
10000 gently curated ERC721 NFT worthy to fall in love.

Official Sad Girl���������s companions: [Skeletongues](https://opensea.io/collection/skeleto",500,750,0xf252f9b3cd191868dcac28e1f5264bf977cd2ee0,6.7813872,-0.775907761,27,0.251162489,51.2360729,2.253227995,235,0.218025842,183.2760726,-0.748717784,756,0.242428668,2229.614105,12463,10000,10000,4761,0.178898668,2180.258421,0.185,sadgirlsbar,"2022-03-06, 09:47:25",2021-08-22T20:30:26.944214,"[Sad Girls Bar](https://opensea.io/collection/sadgirlsbar) | [Skeletongues](https://opensea.io/collection/skeletongues) | [The Sad Cats](https://opensea.io/collection/thesadcats)

Hand-drawn, monochrome, and stylish Sad Girls were created by female artist Glam Beckett.
10000 gently curated ERC721 NFT worthy to fall in love.

Official Sad Girl���������s companions: [Skeletongues](https://opensea.io/collection/skeleto",contain,verified,Sad Girls Bar,0,1,1,1,0,https://sadgirlsbar.io
0x315cdf22f70401813601b7f0d6e9923ec0428cd5,non-fungible,2022-01-03T01:11:33.080335,Ben Mezrich Project 1,3,190061212,ERC721,BENFT1,0,"The Ben Mezrich Project - Meme Stock Collection is a 6,000 piece collection inspired by my most recent journey into the world of the GME short, meme stocks and taking on wall street. This is part one of a 3 piece set that collectors will need to receive the Ben Mezrich Project ""screenplay token.""

By owning a Ben Mezrich NFT you have agreed to the Terms and Conditions found here https://www.benmezrichnft.com/terms",750,1000,0xfe4bca1f6cb50e63d6ac7efd1878e3d9110a8dde,1.609,0.877698681,8,0.201125,20.15629,-0.554631634,98,0.205676429,115.729859,-0.625656326,704,0.164389004,524.8828682,3600,6000,6000,3613,0.145800797,1234.058571,0.095,ben-mezrich-project-meme-stock,"2022-03-06, 09:47:25",2022-01-03T01:26:51.513388,"The Ben Mezrich Project - Meme Stock Collection is a 6,000 piece collection inspired by my most recent journey into the world of the GME short, meme stocks and taking on wall street. This is part one of a 3 piece set that collectors will need to receive the Ben Mezrich Project ""screenplay token.""

By owning a Ben Mezrich NFT you have agreed to the Terms and Conditions found here https://www.benmezrichnft.com/terms",cover,approved,Ben Mezrich Project - Meme Stock Collection,0,0,0,1,0,https://www.benmezrichnft.com/
0x7127206a49824d693932f9edcb77c53fbb8443d7,non-fungible,2022-02-24T17:56:30.848028,Crypto Tech Women,3,248620206,ERC721,CTW,0,"The ���������Crypto Tech Women��������� project is an NFT collection of 8,888 unique ERC-721 tokens stored on the Ethereum Blockchain.

Crypto Tech Women NFT collection celebrates and encourages women to participate in the world of crypto, striving to bridge the gender gap in web3. The team is dedicated to educating women in the space through continual Twitter spaces on topics ranging from ���������Defi 101��������� to ���������Creating your own NFT Collection���������, as well as launching an educational platform exclusively available to token holders.

Token holders can look forward to helping choose charities for CTW���������s donation fund, a community fund focused on supporting creators, IRL eve",600,850,0xa593c8f83f8ddaa378fb9450b9dd29413069e420,4.234279,-0.449018865,81,0.052275049,223.30529,-0.098735493,2806,0.079581358,471.0741616,0,5445,0.086514998,471.0741616,5445,8787,8787,3556,0.086514998,699.281391,0.03,cryptotechwomennft,"2022-03-06, 09:47:26",2022-02-24T19:05:54.082965,"The ���������Crypto Tech Women��������� project is an NFT collection of 8,888 unique ERC-721 tokens stored on the Ethereum Blockchain.

Crypto Tech Women NFT collection celebrates and encourages women to participate in the world of crypto, striving to bridge the gender gap in web3. The team is dedicated to educating women in the space through continual Twitter spaces on topics ranging from ���������Defi 101��������� to ���������Creating your own NFT Collection���������, as well as launching an educational platform exclusively available to token holders.

Token holders can look forward to helping choose charities for CTW���������s donation fund, a community fund focused on supporting creators, IRL eve",contain,approved,Crypto Tech Women Collection NFT,0,0,1,1,1,https://www.cryptotechwomennft.com/
0x00fa82ea9be4e24ec6d7ed86ef93bfe85b9a3e68,non-fungible,2021-10-27T04:31:38.841340,Rare Ghost Club,3,105622170,ERC721,RGC,0,"Rare Ghost Club (RGC) is an NFT project consisting of 5,000 unique combinations of ghosts created by LordWave, in the works since 2008. Every character is a unique collectible with proof of ownership stored on the Ethereum blockchain.

Enter our [Discord](https://discord.gg/rareghostclub) to join other Club Members and learn more.",500,750,0x2bf546ec8640f3faa95313b2dbda64ddc7d40fbd,0.1065,-0.270047978,2,0.05325,1.4201,-0.351759712,20,0.071005,16.4245,-0.415960381,119,0.138021008,361.9568147,2339,5006,5006,2494,0.154748531,355.45103,0.0468,rareghostclub,"2022-03-06, 09:47:26",2021-10-28T00:05:59.174995,"Rare Ghost Club (RGC) is an NFT project consisting of 5,000 unique combinations of ghosts created by LordWave, in the works since 2008. Every character is a unique collectible with proof of ownership stored on the Ethereum blockchain.

Enter our [Discord](https://discord.gg/rareghostclub) to join other Club Members and learn more.",cover,approved,Rare Ghost Club (RGC),0,1,1,1,0,https://www.rareghostclub.com/
0x86c35fa9665002c08801805280ff6a077b23c98a,non-fungible,2022-02-15T03:57:07.894865,CatBloxGenesis,3,254715255,ERC721,CATBLOXGEN,0,Welcome to the cute and pudgy world of CatBlox. 9999 uniquely beautiful generative cats here to take over the world.,750,1000,0x1d6de76bd4de3d320414a13529f68323f765ac5d,29.5757,0.679795646,95,0.311323158,634.9134351,-0.803957813,1318,0.481724913,7429.91429,0,13636,0.544874911,7429.91429,13636,9999,9999,5197,0.544874911,4816.767403,0.299,catbloxgenesis,"2022-03-06, 09:47:27",2022-02-15T19:15:33.655423,Welcome to the cute and pudgy world of CatBlox. 9999 uniquely beautiful generative cats here to take over the world.,contain,approved,CatBlox Genesis Collection,0,0,0,0,0,https://www.catblox.xyz
